gene_name,TCGA-BA-4074-01,TCGA-BA-4078-01,TCGA-BA-5149-01,TCGA-BA-5151-01,TCGA-BA-5152-01,TCGA-BA-5153-01,TCGA-BA-5555-01,TCGA-BA-5556-01,TCGA-BA-5559-01,TCGA-BA-6869-01,TCGA-BA-6870-01,TCGA-BA-6871-01,TCGA-BA-6872-01,TCGA-BA-6873-01,TCGA-BB-4217-01,TCGA-CN-4723-01,TCGA-CN-4725-01,TCGA-CN-4726-01,TCGA-CN-4728-01,TCGA-CN-4729-01,TCGA-CN-4730-01,TCGA-CN-4731-01,TCGA-CN-4733-01,TCGA-CN-4736-01,TCGA-CN-4737-01,TCGA-CN-4738-01,TCGA-CN-4740-01,TCGA-CN-4741-01,TCGA-CN-4742-01,TCGA-CN-5355-01,TCGA-CN-5356-01,TCGA-CN-5358-01,TCGA-CN-5360-01,TCGA-CN-5363-01,TCGA-CN-5364-01,TCGA-CN-5365-01,TCGA-CN-5366-01,TCGA-CN-5367-01,TCGA-CN-5369-01,TCGA-CN-5370-01,TCGA-CN-5373-01,TCGA-CN-5374-01,TCGA-CN-6010-01,TCGA-CN-6011-01,TCGA-CN-6013-01,TCGA-CN-6016-01,TCGA-CN-6017-01,TCGA-CN-6018-01,TCGA-CN-6019-01,TCGA-CN-6020-01,TCGA-CN-6021-01,TCGA-CN-6022-01,TCGA-CN-6023-01,TCGA-CN-6024-01,TCGA-CN-6988-01,TCGA-CN-6989-01,TCGA-CN-6992-01,TCGA-CN-6994-01,TCGA-CN-6995-01,TCGA-CN-6997-01,TCGA-CN-6998-01,TCGA-CQ-5323-01,TCGA-CQ-5324-01,TCGA-CQ-5325-01,TCGA-CQ-5329-01,TCGA-CQ-5330-01,TCGA-CQ-5331-01,TCGA-CQ-5332-01,TCGA-CQ-5334-01,TCGA-CQ-6218-01,TCGA-CQ-6220-01,TCGA-CQ-6224-01,TCGA-CQ-6225-01,TCGA-CQ-6227-01,TCGA-CQ-6228-01,TCGA-CQ-6229-01,TCGA-CQ-7065-01,TCGA-CQ-7068-01,TCGA-CV-5430-01,TCGA-CV-5432-01,TCGA-CV-5434-01,TCGA-CV-5436-01,TCGA-CV-5439-01,TCGA-CV-5440-01,TCGA-CV-5441-01,TCGA-CV-5442-01,TCGA-CV-5443-01,TCGA-CV-5444-01,TCGA-CV-5966-01,TCGA-CV-5970-01,TCGA-CV-5973-01,TCGA-CV-5976-01,TCGA-CV-5977-01,TCGA-CV-5978-01,TCGA-CV-5979-01,TCGA-CV-6003-01,TCGA-CV-6436-01,TCGA-CV-6441-01,TCGA-CV-6933-01,TCGA-CV-6934-01,TCGA-CV-6935-01,TCGA-CV-6936-01,TCGA-CV-6937-01,TCGA-CV-6938-01,TCGA-CV-6939-01,TCGA-CV-6940-01,TCGA-CV-6941-01,TCGA-CV-6942-01,TCGA-CV-6943-01,TCGA-CV-6945-01,TCGA-CV-6948-01,TCGA-CV-6950-01,TCGA-CV-6951-01,TCGA-CV-6952-01,TCGA-CV-6953-01,TCGA-CV-6954-01,TCGA-CV-6955-01,TCGA-CV-6956-01,TCGA-CV-6959-01,TCGA-CV-6960-01,TCGA-CV-6961-01,TCGA-CV-6962-01,TCGA-CV-7089-01,TCGA-CV-7090-01,TCGA-CV-7091-01,TCGA-CV-7095-01,TCGA-CV-7097-01,TCGA-CV-7099-01,TCGA-CV-7100-01,TCGA-CV-7101-01,TCGA-CV-7102-01,TCGA-CV-7103-01,TCGA-CV-7104-01,TCGA-CV-7177-01,TCGA-CV-7178-01,TCGA-CV-7180-01,TCGA-CV-7183-01,TCGA-CV-7235-01,TCGA-CV-7236-01,TCGA-CV-7238-01,TCGA-CV-7242-01,TCGA-CV-7243-01,TCGA-CV-7245-01,TCGA-CV-7247-01,TCGA-CV-7248-01,TCGA-CV-7250-01,TCGA-CV-7252-01,TCGA-CV-7253-01,TCGA-CV-7254-01,TCGA-CV-7255-01,TCGA-CV-7261-01,TCGA-CV-7263-01,TCGA-CV-7406-01,TCGA-CV-7407-01,TCGA-CV-7410-01,TCGA-CV-7411-01,TCGA-CV-7413-01,TCGA-CV-7414-01,TCGA-CV-7415-01,TCGA-CV-7416-01,TCGA-CV-7418-01,TCGA-CV-7421-01,TCGA-CV-7422-01,TCGA-CV-7423-01,TCGA-CV-7424-01,TCGA-CV-7427-01,TCGA-CV-7429-01,TCGA-CV-7430-01,TCGA-CV-7432-01,TCGA-CV-7433-01,TCGA-CV-7434-01,TCGA-CV-7435-01,TCGA-CV-7437-01,TCGA-CV-7438-01,TCGA-CV-7440-01,TCGA-CX-7085-01,TCGA-CX-7086-01,TCGA-CX-7219-01,TCGA-D6-6515-01,TCGA-D6-6516-01,TCGA-D6-6517-01,TCGA-D6-6823-01,TCGA-D6-6824-01,TCGA-D6-6825-01,TCGA-D6-6826-01,TCGA-DQ-7591-01,TCGA-IQ-7630-01,TCGA-IQ-7632-01
ABL1,2.299,4.2936,4.7127,4.1335,3.6939,3.9589,4.5053,4.6674,5.1989,3.4556,4.162,4.4549,3.9299,4.1368,4.3335,4.6312,3.8054,2.7314,4.6832,4.2404,3.0498,3.9663,4.3031,4.162,4.1119,4.1587,4.3737,5.026,4.2518,5.0631,4.2929,4.3492,4.9346,4.6972,4.3534,3.573,4.2833,4.5411,3.8044,4.4156,3.9755,3.8431,4.5675,5.1231,3.7794,4.5386,4.8115,4.4536,4.6742,4.3779,4.5503,4.8151,4.5192,4.613,3.9204,4.5129,4.2442,4.0162,3.6827,4.3646,3.4331,4.3392,4.0162,4.0645,3.7898,4.5814,3.83,3.9012,4.5778,3.4371,3.5073,4.4758,3.5779,4.6479,3.4318,3.5098,3.4765,4.5199,4.5173,4.0653,4.7132,4.8365,3.8886,4.1724,3.5274,4.2134,4.6118,5.2407,4.8788,4.2714,2.4117,4.2412,4.5367,4.5565,3.9118,3.7017,2.7931,3.287,4.0926,4.7965,3.8411,4.3862,2.8482,4.1194,4.5349,4.5186,4.1169,4.0357,4.1628,3.1475,4.1891,4.975,3.7039,4.3053,3.091,3.4034,3.4609,3.6312,4.1458,4.0841,4.1804,4.2243,4.2862,4.7971,3.6589,3.6691,3.8044,4.4304,4.7688,4.1506,4.4142,4.5091,3.6207,4.591,4.2041,3.6463,3.2158,5.1115,4.7066,4.1788,4.0366,3.6451,4.2366,4.2624,4.1466,3.5923,3.1987,3.5249,3.8289,4.1907,4.2699,4.2103,4.5129,4.6171,4.4758,3.034,3.5199,4.7819,4.4196,4.0242,4.0892,4.2541,4.4297,3.7017,4.3534,4.4823,5.151,3.866,3.3421,4.4216,5.2289,4.235,3.9801,4.1211,4.1788,4.441,3.6623,4.7661,4.4509,4.0739,3.9393,4.1285,4.7307,4.2533,4.2676,4.2578,3.4129,3.6928
ABL2,0.8961,1.5612,2.9148,2.6232,1.4065,1.8957,2.6325,2.3592,2.05,0.9115,2.2299,1.6649,1.8801,1.8564,1.4911,2.9394,2.4144,2.2753,3.3938,2.8199,1.1833,2.9128,2.5536,2.1988,3.1908,2.8582,2.8779,1.7617,2.6418,3.907,2.8661,2.6715,2.8522,3.1939,1.1641,2.4805,2.3981,2.9262,2.0004,2.9581,2.9747,1.4911,2.5924,3.1588,2.8799,2.2051,2.8974,3.1669,2.8562,3.6463,2.791,3.3759,2.4675,4.4588,0.9935,3.3278,3.3492,2.2603,2.685,3.162,4.131,2.1574,2.4779,2.2237,2.1574,2.9984,1.8282,2.3366,2.1476,2.6805,0.6969,2.6487,1.7185,2.609,1.7954,2.004,1.1897,1.7744,2.0673,0.6239,3.0038,2.4544,2.0604,2.4063,1.0642,1.5854,1.3397,3.1588,2.9747,2.128,1.5709,2.8301,2.7139,2.6185,4.01,1.9638,0.346,1.0915,1.8363,3.0723,3.0163,3.5212,1.0079,1.7532,2.043,1.674,2.0707,1.9895,1.6327,2.2603,2.3592,3.0533,1.884,2.3337,1.7532,1.7828,-0.2498,2.4857,3.0791,2.296,2.982,2.7007,1.6187,2.3164,2.328,2.676,3.8531,2.0946,1.8078,2.4117,2.694,2.0844,2.3337,3.1876,2.8462,0.9493,1.0222,1.9859,2.9469,1.9931,2.4465,1.8604,3.1261,1.8879,2.108,2.2663,3.1011,3.8177,1.7489,3.2143,2.8137,1.4388,2.2901,2.2783,1.7185,1.1577,1.2209,0.9935,2.5363,3.1604,2.7117,2.108,1.9073,2.6441,1.7141,2.5011,3.5486,3.335,3.7783,3.0688,2.6873,2.9375,1.642,3.0893,3.6983,3.2722,2.5338,4.0046,1.6045,1.125,2.4857,1.5709,2.3019,2.7422,3.8964,1.4652,2.651,1.5465
ACAA1,3.7486,4.47,4.6804,5.5107,5.466,4.8258,4.4529,5.5195,4.5657,4.7919,4.7576,4.1094,4.5324,5.3548,4.958,5.178,4.996,4.8375,4.637,4.8983,5.054,4.2235,4.5892,5.0009,4.565,4.7645,4.9709,4.9079,5.0798,4.8778,4.585,4.6566,4.854,4.4027,4.6159,4.9117,4.5261,4.2274,5.701,4.7404,4.6259,4.8798,4.4977,4.1547,4.4457,3.992,4.562,4.5534,5.1563,4.6697,4.2684,4.1756,4.5711,4.5687,4.5748,4.6685,4.1244,3.9412,4.5772,4.439,4.3931,4.9341,5.0,4.447,4.8575,4.4836,5.8961,4.0153,5.1256,4.6685,5.1851,4.8319,4.7597,4.8992,4.1939,4.9796,4.3456,5.3653,4.585,4.9672,4.8197,4.1498,4.7523,3.9242,5.0099,5.6367,5.3917,4.9279,5.3104,4.8309,5.7732,4.5161,4.2892,4.9833,3.7635,4.926,6.0557,4.1449,4.6753,4.0348,3.6219,4.8655,5.0317,5.1684,4.0073,4.6023,4.8156,5.4135,5.0202,4.2862,4.5491,4.5958,4.3285,4.6083,5.9155,4.7077,5.9489,4.6404,4.5079,3.9874,4.0207,4.7296,5.3417,4.8763,4.8043,4.0436,4.6662,4.433,4.2699,4.6679,4.0064,4.5687,4.5066,4.2095,4.551,5.1081,6.0637,4.4575,4.0558,4.7882,4.5318,4.9538,4.7421,3.9051,4.6747,5.5571,3.867,3.7656,5.064,4.9892,4.3435,4.2736,4.5243,4.4095,4.9942,5.7151,4.5053,4.6282,3.4635,4.8258,4.4149,4.2189,4.443,4.8329,4.5626,5.497,4.6106,4.1978,3.9801,4.6916,4.38,3.9801,4.8963,4.9901,4.728,5.5211,4.7138,4.5411,5.195,5.1899,3.8531,4.4047,4.9964,4.4236,4.421,3.9051,4.9714,5.7077
ACACA,3.5111,4.4686,3.2496,4.4874,4.1161,4.1555,4.5802,3.6972,3.8915,3.838,3.0234,3.652,4.1011,4.4575,4.0858,4.748,4.6218,3.7226,4.01,4.8876,4.8992,3.2511,3.3675,3.5791,4.7576,4.4919,4.0401,4.7066,3.7582,4.5318,4.9528,3.9636,4.3075,3.5815,4.0287,4.0278,4.6742,3.9478,3.7783,3.5337,3.7367,4.1986,4.3039,3.8259,3.7072,3.3421,2.7117,3.9393,3.9051,4.0884,4.0109,4.6136,4.6832,4.2616,5.0803,3.9847,4.6702,4.4868,4.3385,4.7253,3.5098,4.298,4.2465,3.4061,2.9052,3.5436,4.0558,4.7209,3.7539,3.6347,4.8182,2.8341,4.7793,3.7072,4.2001,3.9251,3.8054,3.5839,4.7005,4.4803,4.3299,4.2533,4.322,4.2243,4.6247,4.3702,4.4283,2.9911,3.6994,4.0383,2.8178,4.2541,4.1954,4.2095,3.9965,4.2274,3.3148,2.7095,4.6317,3.1749,4.001,4.1236,4.449,3.8501,3.9384,4.061,4.5711,3.3435,3.2766,3.9645,4.837,3.991,4.4047,3.6657,4.4324,4.1466,4.1433,4.6376,4.4115,4.4913,4.847,4.8233,3.6312,3.3421,3.8249,3.7877,3.9992,4.1376,4.3555,3.9524,3.838,4.3177,3.5047,4.7372,3.8491,4.1194,3.7961,4.3765,4.245,3.9599,4.0082,4.0636,4.6136,4.579,4.7318,5.4047,3.8116,3.871,4.9132,3.5923,3.9299,4.6195,4.4719,4.096,3.4791,4.0841,4.6106,3.4102,3.8944,4.5268,3.9421,4.3039,4.652,4.2404,4.5862,4.0799,4.0109,4.2503,3.9194,3.506,3.3278,4.3569,3.4997,3.8033,4.6685,3.3105,4.1392,4.7581,3.6136,3.8198,4.2751,4.4777,3.9327,4.2586,4.3031,3.492,3.4804,4.0969
ACACB,-3.1714,1.9188,-3.1714,-0.9406,-0.3752,2.5634,0.537,-1.3548,2.8158,-0.3383,-1.8836,1.105,-1.1172,0.058,0.547,1.2756,-0.6643,-2.3147,1.0079,-0.9971,-1.4699,-1.9379,0.434,1.196,1.4962,0.099,0.7407,1.125,-1.2142,-0.3566,0.4865,1.2934,1.642,-0.9406,-0.4719,-3.1714,-0.4131,-0.9971,-1.3548,0.2881,-0.4131,1.3454,1.2209,-1.7809,0.3115,0.9935,2.3479,0.2277,1.0433,-1.2481,0.547,0.6239,0.7407,0.3115,-0.8084,0.7916,1.2394,-0.6643,-0.5756,0.1257,-2.9324,1.0915,-2.3884,0.03,0.2029,0.346,-1.2481,1.0222,-1.8836,-1.685,-0.8084,0.5069,-0.6416,0.6425,0.2881,-0.5973,-2.114,-2.3147,0.9935,0.1257,2.1411,0.0014,-1.1172,0.9789,-1.1488,-5.0116,1.4859,1.412,-2.3884,-0.8599,-3.6259,-0.8599,-4.2934,-0.394,-0.7834,-1.8836,-3.816,0.3796,0.4967,1.0642,-0.7346,-0.0277,0.1257,-1.4305,1.6093,-0.3566,-0.9971,0.2277,0.4233,-2.114,0.1776,-0.1993,-1.5105,-2.3147,-3.1714,-1.1172,-2.3147,-0.4131,0.7999,1.0573,0.7493,1.177,-1.5522,-0.3752,-1.2481,-1.4305,0.7321,-1.7322,0.547,-0.3383,0.6425,0.9716,0.2154,-0.1187,0.3907,-1.7809,-1.9942,-0.5332,0.0014,0.7832,0.6425,-2.0529,-0.1345,1.105,0.346,-1.3183,-2.3147,-0.6416,0.2642,-3.3076,-0.1993,1.6187,0.9862,-2.3884,0.4865,-2.5479,-1.685,-0.9686,-1.3183,0.2762,0.9268,0.1257,1.4547,-1.9942,1.125,-1.685,-0.3383,-0.394,-3.3076,-0.6193,-0.7346,-0.3383,-0.3752,0.5955,1.5266,1.1184,-0.6643,-1.685,0.7832,-0.6873,-0.0725,-0.0425,1.0293,0.2762,-0.2328,1.2696,-0.5125,-1.1488
ACADL,-4.035,-4.2934,-9.9658,-9.9658,-3.0469,-9.9658,-4.6082,-9.9658,-2.2447,-5.5735,-6.5064,-2.6349,-9.9658,-9.9658,-6.5064,-3.3076,-1.9379,-9.9658,-4.035,-6.5064,-5.5735,-6.5064,-5.5735,-1.2142,-2.0529,-2.3147,-2.3147,-0.9406,-5.5735,-2.7274,-5.5735,-4.2934,-0.8863,-5.0116,-4.035,-5.5735,-5.5735,-3.458,-5.0116,-2.3147,-6.5064,-1.3183,-1.1811,-5.5735,-4.6082,-1.9379,-0.0277,-4.6082,-1.9942,-6.5064,-5.5735,-2.8262,-2.0529,-3.816,-5.5735,-3.816,-0.2845,-6.5064,-6.5064,-4.2934,-3.0469,-6.5064,-9.9658,-3.6259,-4.6082,-3.3076,-6.5064,-2.3884,-9.9658,-5.0116,-9.9658,-2.6349,-4.6082,-1.1811,-2.1779,-3.458,-4.2934,-9.9658,-3.0469,-5.5735,-2.7274,-5.5735,-5.5735,-1.1811,-9.9658,-5.5735,-6.5064,-1.685,-6.5064,-4.6082,-5.5735,-4.035,-9.9658,-2.6349,-5.5735,-6.5064,-5.5735,-2.2447,-9.9658,-3.0469,-1.2481,-5.0116,-1.0862,-6.5064,-2.4659,-3.1714,-5.0116,-3.1714,-5.5735,-2.5479,-0.8599,-2.7274,-3.458,-5.5735,-9.9658,-4.6082,-9.9658,-4.035,-2.0529,-5.5735,-0.5973,-0.0877,-4.035,-9.9658,-5.0116,-4.6082,-2.2447,-9.9658,-4.035,-3.0469,-3.3076,-0.6873,-2.1779,-1.5951,-3.0469,-4.2934,-9.9658,-3.3076,-0.7346,-2.0529,-2.6349,-3.0469,-4.2934,-2.5479,-1.4305,-5.5735,-9.9658,-9.9658,-1.5105,-3.6259,-2.6349,-3.816,0.1388,-3.816,-4.6082,-3.6259,-9.9658,-2.0529,-9.9658,-9.9658,-0.2498,-1.0862,-5.5735,-4.2934,-0.7108,-6.5064,-5.0116,-2.0529,-9.9658,-5.0116,-9.9658,-4.6082,-2.4659,-2.2447,-4.6082,-2.114,-4.035,-6.5064,-4.035,-4.6082,-6.5064,-4.6082,-0.6193,-6.5064,-2.1779,-9.9658,-9.9658,-3.816
ACADM,5.138,4.8905,4.7394,4.2646,3.8601,4.7788,5.022,4.1482,4.497,5.0449,3.5959,3.87,3.4358,4.4621,4.1086,4.3681,4.425,4.449,3.7825,3.794,4.9426,3.8954,4.4417,4.5669,3.4791,4.1384,4.1103,4.6657,3.9663,3.992,4.6966,4.4764,3.9051,3.8198,4.2404,3.8461,3.0961,3.9487,4.0985,5.0171,3.2929,5.0713,3.6725,3.6861,4.0713,3.7248,5.014,3.6451,4.0419,3.8551,2.3019,4.3009,4.5236,3.0654,3.8002,4.3456,3.4477,3.5791,3.5124,3.5535,3.3869,3.8719,4.0567,4.5079,3.8788,3.8944,3.9515,4.2541,3.8002,3.8876,3.755,3.8441,3.8002,4.359,3.5212,4.1252,2.876,4.0471,3.1129,4.0765,4.14,2.9966,4.0662,3.9242,4.8949,4.2862,4.4135,4.2571,3.7762,4.5374,0.9343,4.4176,3.6018,4.1335,3.9608,3.0287,1.2815,3.7909,3.9783,3.9974,2.676,3.833,4.5053,4.3263,5.0905,4.1796,6.0231,3.7475,3.6589,2.3048,4.2899,4.2825,4.0171,3.5111,3.4411,3.8837,3.6782,4.2518,3.7356,5.3893,4.7898,3.8719,3.5706,3.9365,3.637,3.5174,3.7783,4.2906,4.4764,4.0532,3.837,2.7889,4.0824,3.4984,4.809,3.1327,2.7657,4.3002,4.0558,3.7877,4.6462,3.3192,3.8033,3.7356,3.9709,5.0396,4.1986,4.391,4.4732,3.8541,3.9838,4.4304,4.1844,4.5808,4.6849,2.6715,3.6347,3.6301,3.4156,4.3392,3.869,3.8085,4.4176,3.2374,3.705,3.2929,3.6916,4.4203,4.4758,3.7857,3.8085,4.3541,3.795,4.4277,4.6041,4.018,4.6265,3.9838,4.49,2.1247,4.1764,4.6089,4.1425,4.5336,4.1915,4.298,3.8289,3.6532
ACOX1,3.0217,4.1409,3.4277,4.5255,4.4887,4.287,3.8431,3.8808,3.9137,3.7226,2.4571,2.5112,3.0463,3.5399,3.6347,4.14,3.6578,3.6905,4.0867,4.0401,3.8431,3.8541,3.5324,3.8177,3.907,3.9571,4.2518,3.9765,4.0445,4.3364,4.3442,4.0073,4.4135,3.4411,4.4176,3.0323,3.8531,2.9205,3.8778,3.5621,4.314,3.2251,3.9412,3.5224,3.2752,3.3966,3.4881,3.3605,3.9608,4.0462,5.3775,3.9746,4.3133,3.6771,5.9778,3.8521,4.0756,4.0662,3.8531,3.7909,3.4778,4.0216,3.8391,3.5399,3.1062,3.1261,3.991,3.7105,3.9792,3.1797,3.6578,3.6894,4.5934,3.0287,4.1724,3.3506,3.1844,3.3464,4.0627,3.1971,3.8044,2.9562,3.6589,3.3993,3.6635,2.96,3.0978,3.7215,2.4279,3.835,3.6928,3.5803,2.5011,3.7867,2.9747,3.0808,2.9109,3.2959,3.8551,3.3773,2.8897,2.8381,3.8837,2.7615,3.9883,4.0046,4.208,2.6371,3.981,3.0056,2.7868,4.1161,3.5136,4.0688,3.47,3.0893,4.5964,3.1717,3.0602,3.8136,3.9137,3.9496,4.3024,3.2389,3.2632,4.0233,3.3336,3.3759,3.4556,3.8866,3.0002,3.5224,3.7752,4.0985,3.0978,3.3061,3.9901,2.3222,4.5856,3.9346,3.9022,2.5585,4.5988,3.4411,3.6382,5.0837,2.9802,4.835,3.6382,3.2602,4.1547,3.9051,4.511,3.3206,3.5935,3.2647,3.6849,3.4635,3.034,3.5657,3.3759,3.0038,4.1343,3.1162,3.4007,4.0909,3.7539,4.9416,2.4332,2.828,3.5374,3.8551,2.8799,3.4543,3.4687,4.49,4.3492,3.8983,4.1161,3.4277,3.6793,3.5249,4.3285,4.2196,3.6277,3.4713,2.6738,3.4477
ACOX2,2.2019,0.8246,-1.8314,0.6699,0.679,-0.9971,-1.2828,1.0779,-0.9971,0.517,-0.8599,-0.4521,0.4125,0.1388,0.8082,0.2762,-0.7108,-1.8836,-0.1345,-1.8836,-2.5479,0.0014,0.2522,-0.1187,0.0854,0.6425,0.3231,-1.1811,-0.2159,0.1124,1.2576,0.6608,2.0111,-0.5332,-0.3022,-1.1488,-0.6193,0.1776,-0.0725,-0.1345,-1.8314,2.4623,0.2277,-0.0425,-1.9379,0.0718,0.679,-0.7834,0.8164,0.044,-0.4521,1.8957,-2.5479,0.0718,-2.114,0.2998,-0.9686,0.9191,-1.4305,-0.2671,-2.114,-0.1031,0.688,-0.0574,0.0158,-0.0574,1.9786,-1.0559,-1.9379,-1.4305,-0.6643,-1.4699,-0.1828,0.9038,-1.0559,-0.4521,-1.0262,1.4704,1.1316,1.7141,0.5666,-1.5951,-0.5125,-2.2447,-1.5951,-3.6259,-0.4325,0.7748,0.1388,-0.6873,-0.8863,-0.8599,0.5763,0.5763,-0.3566,0.4865,2.3394,2.9544,-0.2671,0.2522,-1.7322,1.7229,1.3051,2.5137,0.2277,-1.1172,0.517,0.4865,-0.4719,-0.2328,-2.0529,-1.8836,-1.0262,-1.9379,-0.4719,-1.5522,-0.2159,-2.6349,-0.1187,-0.1187,0.0854,-1.3921,1.4228,0.7058,-0.9971,-0.0725,0.7748,-0.1828,-0.7588,1.2085,0.0718,0.3573,-2.114,-0.4921,0.2029,-1.2142,-0.5543,-0.5756,-1.7809,0.346,-0.4521,0.1519,-1.685,0.4865,-0.1187,0.6239,-0.9686,-3.6259,1.0079,-0.9406,0.1648,0.044,-0.2159,-1.4305,-0.4131,-2.5479,-0.1187,-0.9406,-1.3183,-1.8836,0.1257,-0.8599,-0.6416,-1.1488,-0.3752,-0.1665,0.4016,-1.3183,-2.8262,1.3623,-1.3548,0.2154,-3.1714,-0.8599,1.1316,-0.3566,0.9568,1.2455,-0.7108,0.4657,-1.3183,0.0718,0.7233,-0.3566,0.8805,-1.9379,-2.114,1.2394
ACOX3,1.9712,1.8801,2.8096,2.7951,3.1653,4.5473,3.2189,4.0162,3.8401,3.6612,2.6418,2.1702,3.9002,2.9356,3.5362,2.4465,2.8462,2.8178,2.7784,2.1894,1.3511,3.5718,3.2752,3.4907,2.8117,3.1011,3.3717,3.0446,3.0323,2.9562,3.4868,2.7679,3.0671,2.8974,2.8117,3.1129,2.7551,2.7183,3.8491,3.5971,3.8157,2.5487,2.5163,2.6138,4.6118,3.1637,2.9839,2.7292,3.1442,4.245,2.2901,3.0654,2.4035,2.3677,3.5596,2.2513,2.4225,2.9765,2.2633,2.4386,2.8936,2.5828,3.7539,3.4843,3.2692,3.6136,3.8411,2.874,2.9052,3.4739,3.0706,3.2929,2.8522,3.4997,2.4597,4.1211,3.0637,3.4075,4.3292,2.7572,2.1476,2.2901,4.5644,2.6693,3.9251,3.5174,3.8778,2.4908,2.8877,3.9626,4.7619,4.441,3.1797,3.1669,3.1637,3.4143,4.0807,3.2692,2.7314,2.6019,2.0395,2.8341,3.9691,3.944,3.309,3.3047,3.0376,2.4831,3.6555,3.2389,1.9111,2.2421,3.2236,3.3605,3.3478,3.9947,4.551,2.8014,2.7051,3.6219,2.6715,2.9893,3.8198,2.9839,3.47,3.6816,2.7422,2.8681,3.4945,3.0481,3.1653,3.5035,3.5718,3.1955,3.055,3.7898,4.1252,2.9984,1.9073,2.7357,3.4752,3.1892,1.595,2.5413,2.7465,4.034,2.8462,2.971,2.2931,3.741,1.3511,3.7539,3.2359,3.492,3.2251,2.8994,2.233,4.2001,3.162,2.9167,1.4962,3.9108,2.2753,3.2692,2.1013,4.2181,3.2737,2.6114,3.1062,2.2693,3.1797,2.9148,2.6602,2.9929,1.736,3.7529,3.5911,3.034,3.8621,3.2944,2.7422,2.676,3.4945,4.2541,2.8542,3.1011,3.8411,3.6077
