gene_name,TCGA-A4-7288-01,TCGA-A4-7583-01,TCGA-A4-7584-01,TCGA-A4-7585-01,TCGA-A4-7734-01,TCGA-A4-7915-01,TCGA-A4-7997-01,TCGA-A4-8098-01,TCGA-A4-8311-01,TCGA-A4-8517-01,TCGA-A4-8630-01,TCGA-A4-A57E-01,TCGA-AL-3472-01,TCGA-AL-3473-01,TCGA-AL-7173-01,TCGA-B1-5398-01,TCGA-B1-7332-01,TCGA-B1-A47M-01,TCGA-B1-A47N-01,TCGA-B1-A654-01,TCGA-B1-A657-01,TCGA-B3-8121-01,TCGA-B9-5155-01,TCGA-B9-5156-01,TCGA-B9-7268-01,TCGA-B9-A44B-01,TCGA-B9-A5W7-01,TCGA-B9-A5W8-01,TCGA-B9-A5W9-01,TCGA-B9-A69E-01,TCGA-BQ-5875-01,TCGA-BQ-5877-01,TCGA-BQ-5878-01,TCGA-BQ-5879-01,TCGA-BQ-5880-01,TCGA-BQ-5881-01,TCGA-BQ-5882-01,TCGA-BQ-5883-01,TCGA-BQ-5885-01,TCGA-BQ-5887-01,TCGA-BQ-5888-01,TCGA-BQ-5889-01,TCGA-BQ-5890-01,TCGA-BQ-5891-01,TCGA-BQ-5892-01,TCGA-BQ-5893-01,TCGA-BQ-5894-01,TCGA-BQ-7044-01,TCGA-BQ-7046-01,TCGA-BQ-7048-01,TCGA-BQ-7050-01,TCGA-BQ-7051-01,TCGA-BQ-7053-01,TCGA-BQ-7055-01,TCGA-BQ-7058-01,TCGA-BQ-7059-01,TCGA-BQ-7060-01,TCGA-BQ-7061-01,TCGA-BQ-7062-01,TCGA-DW-5560-01,TCGA-DW-5561-01,TCGA-DW-7834-01,TCGA-DW-7837-01,TCGA-DW-7838-01,TCGA-DW-7839-01,TCGA-DW-7840-01,TCGA-DW-7841-01,TCGA-DW-7842-01,TCGA-DW-7963-01,TCGA-DZ-6131-01,TCGA-DZ-6132-01,TCGA-DZ-6133-01,TCGA-DZ-6134-01,TCGA-DZ-6135-01,TCGA-EV-5901-01,TCGA-EV-5902-01,TCGA-EV-5903-01,TCGA-F9-A4JJ-01,TCGA-G7-6789-01,TCGA-G7-6790-01,TCGA-G7-6792-01,TCGA-G7-6793-01,TCGA-G7-6795-01,TCGA-G7-6796-01,TCGA-G7-6797-01,TCGA-G7-7501-01,TCGA-G7-7502-01,TCGA-G7-A4TM-01,TCGA-GL-6846-01,TCGA-GL-7773-01,TCGA-GL-7966-01,TCGA-GL-8500-01,TCGA-GL-A4EM-01,TCGA-GL-A59R-01,TCGA-HE-7128-01,TCGA-HE-7129-01,TCGA-HE-A5NF-01,TCGA-HE-A5NH-01,TCGA-HE-A5NI-01,TCGA-HE-A5NJ-01,TCGA-HE-A5NL-01,TCGA-IA-A40U-01,TCGA-IA-A40X-01,TCGA-IA-A40Y-01,TCGA-IZ-8195-01,TCGA-IZ-8196-01,TCGA-IZ-A6M8-01,TCGA-J7-6720-01,TCGA-J7-8537-01,TCGA-KV-A6GD-01,TCGA-KV-A6GE-01,TCGA-MH-A55Z-01,TCGA-MH-A560-01,TCGA-MH-A562-01,TCGA-P4-A5E6-01,TCGA-P4-A5E7-01,TCGA-P4-A5E8-01,TCGA-P4-A5EA-01,TCGA-P4-A5EB-01,TCGA-P4-A5ED-01,TCGA-PJ-A5Z8-01,TCGA-PJ-A5Z9-01,TCGA-Q2-A5QZ-01
ABL1,4.4887,4.623,3.9874,4.034,4.7104,4.5243,4.0471,4.2173,3.8621,4.073,4.1732,3.9691,4.2126,2.8219,4.4061,4.2312,4.4647,3.9506,3.6125,3.9251,4.225,4.5693,4.4951,4.4196,4.0549,3.74,3.7815,4.9704,4.7247,4.2526,5.0905,4.7908,4.9846,4.6662,3.3787,2.4198,5.2487,4.0952,4.4297,4.6053,2.8936,4.3562,3.7204,4.1668,4.0251,4.5958,5.2138,3.7752,4.3046,3.5035,4.9275,4.6588,4.9065,2.8137,3.4648,4.1449,4.0636,4.1978,4.0653,5.5407,3.5362,3.9589,3.8915,4.2862,4.7555,4.8837,3.7867,4.837,3.4398,5.6949,4.6479,4.4549,4.2064,4.518,4.7214,4.306,4.2358,4.0295,3.9156,4.4277,4.6035,5.6221,4.6877,3.2267,4.8314,4.0322,4.3299,4.2914,4.5922,5.0553,4.7887,4.2616,3.8279,4.4095,4.1027,4.2472,4.1384,4.6364,4.0207,4.4344,3.9883,4.1136,4.5705,3.6497,3.8973,4.9538,2.5972,3.9974,3.6827,3.6312,3.1145,4.4496,3.5694,3.5827,4.298,4.1441,4.497,3.9543,4.2877,4.9208,5.0379,3.7313,2.4225
ABL2,1.7446,1.0007,1.0007,1.3567,2.0111,2.3592,2.043,1.1577,1.0079,0.8805,1.2023,0.6145,0.8408,0.9191,0.9789,1.177,0.5955,0.537,1.2085,0.434,1.1512,2.1147,1.4808,2.0004,1.0433,0.2154,1.6234,0.8726,0.8408,0.9642,1.5216,2.6464,1.7532,3.2944,0.0158,-0.1665,1.6045,1.2023,1.412,1.6649,1.3454,1.5612,1.5216,2.2783,1.334,2.3423,1.7995,1.0915,1.1641,0.7058,0.9038,1.9149,0.9642,1.3956,-0.5332,1.6045,1.0433,1.1382,1.3283,1.0915,0.9789,1.5661,1.3956,2.3251,1.5661,0.7146,1.2455,1.9968,0.6969,1.2934,2.1925,1.4281,1.2636,1.7446,2.1894,1.614,1.8036,2.328,1.9638,1.0573,1.5415,2.3981,0.1519,0.6517,1.5064,1.4441,1.5998,1.4441,1.7316,1.4441,3.186,0.058,0.2762,1.3283,1.736,1.4065,0.8488,1.6374,0.6425,1.6785,0.9115,0.8488,0.7579,2.1411,0.3115,2.2175,0.044,1.0363,1.5366,1.6093,0.5271,0.4865,-0.3383,0.4657,0.6239,1.5709,1.7744,1.3679,0.9115,0.9115,1.5366,0.4657,0.4967
ACAA1,5.9232,6.3822,5.5546,6.2365,5.3234,4.2419,5.9586,5.5401,6.4074,6.22,6.6365,5.7423,5.9816,6.2147,6.225,6.1326,7.546,6.5163,6.3946,6.5472,7.1692,6.1481,6.6869,7.03,6.6837,6.3939,6.8943,6.4573,6.2565,5.2464,6.6269,4.7783,5.6651,4.3702,6.3711,6.9584,4.4115,5.9635,6.0257,5.3516,5.8684,5.6511,6.1056,6.1773,6.2279,4.6877,5.4333,5.8319,6.8959,5.3299,6.005,6.444,6.5251,4.6821,6.6897,5.6974,6.8292,6.3965,6.7592,6.713,6.7907,6.1896,6.7133,6.6685,5.7401,6.4155,6.692,5.4909,6.8485,6.1194,5.7801,7.3828,6.1371,5.5996,5.562,6.0275,5.7393,4.9472,4.2488,7.9588,5.7835,4.5626,6.5239,6.7353,6.1083,5.3377,6.258,6.2139,5.9628,5.3855,4.2609,6.9889,6.1936,6.6508,6.4702,6.5699,6.816,6.15,7.2732,5.591,6.8819,6.5474,7.1069,4.9969,5.7447,5.437,6.7399,6.6408,5.101,7.2849,7.9484,6.9914,7.0642,7.0873,6.9014,6.8156,5.3456,5.9418,7.0128,6.0813,5.5741,7.6479,5.4006
ACACA,3.9819,3.2343,3.2143,3.2328,3.6324,3.4543,2.9167,3.837,3.222,3.3192,3.5633,3.1876,2.4883,1.766,2.5413,2.7227,3.3647,3.4451,2.2206,2.5536,3.8126,3.3661,3.794,3.3619,3.1749,2.7073,3.603,3.8198,3.7496,2.4571,3.3336,2.8661,3.4817,3.6077,2.872,2.1988,3.154,2.8096,2.6647,3.3952,2.9637,2.7401,2.578,3.4411,2.8641,2.7826,3.6393,2.7572,3.795,2.236,2.4544,3.9534,2.6533,2.2783,2.3308,3.0585,3.5461,3.2389,3.4424,2.8502,3.0145,3.0092,3.2174,3.2481,3.6883,3.1212,3.1327,3.5473,2.6693,3.4088,2.8701,4.1612,3.2143,2.4753,3.1588,2.7742,3.3897,3.4556,3.5436,3.5498,2.7805,4.0207,2.9432,3.0671,3.7464,3.4556,3.3047,3.1426,3.9755,2.4306,3.1701,3.4765,3.0808,3.5411,3.4424,4.1628,3.6312,3.1892,2.7763,3.6816,2.874,3.4156,2.1509,3.3407,2.1574,3.8085,3.2481,3.5086,3.7888,2.8622,3.0688,3.0876,2.7931,2.7227,2.043,3.7017,2.9765,2.3649,3.0305,2.9375,3.5523,3.4752,3.6405
ACACB,2.8219,3.5923,2.9128,2.4035,2.3164,-0.1187,2.6395,3.1829,1.7912,3.0199,2.7805,2.0878,2.6019,1.0503,1.7489,1.683,1.7744,1.0779,2.5087,1.9822,1.6187,2.2019,2.1444,1.5709,2.5683,2.3843,3.1797,2.7029,2.876,2.5876,2.6895,2.2901,2.0218,0.044,0.7664,0.044,3.2143,3.3675,2.3337,1.4808,1.4962,1.3511,1.1382,3.0876,2.0844,0.9343,-0.4719,1.0779,2.3394,1.8444,2.3843,1.8323,2.3536,4.2646,0.688,2.4412,2.1411,3.3105,2.651,2.6019,3.6136,1.2516,2.4518,1.196,1.2516,2.6161,3.2096,2.9875,1.1897,3.1924,2.3479,3.3293,2.3019,2.3536,2.3649,3.5959,1.5266,1.0293,1.8078,1.9188,1.6374,1.9968,2.4675,1.3846,4.0926,2.3366,3.2096,2.4439,2.3926,1.4652,-0.0425,2.8034,1.4011,3.3563,3.0723,2.7572,2.5924,2.4063,3.1162,3.2002,2.7594,3.3017,2.0535,2.6441,1.6234,3.011,1.0503,0.8647,1.177,2.8936,3.1781,2.7784,2.3871,2.1574,1.5415,1.5709,1.2992,0.0718,2.4117,1.6964,2.93,3.1955,1.4962
ACADL,4.0462,5.0077,3.5742,2.9186,2.5263,2.3536,3.1717,3.66,2.9929,3.0774,3.2737,4.3435,4.0722,3.9213,2.9802,1.2875,3.838,2.2051,4.391,1.8404,3.9393,3.002,3.795,3.4635,3.0808,2.0289,4.5336,2.7679,2.4198,1.1577,3.8818,2.7931,1.9264,2.3106,3.4894,0.8408,3.8116,2.5683,1.8918,0.8488,1.2394,1.6466,2.4306,2.0638,3.8085,2.4117,2.6371,2.6302,2.6783,-0.8863,3.5436,2.8301,2.874,3.4116,2.0183,2.4332,2.676,3.4674,3.0411,3.2002,4.1111,3.1079,4.2795,2.5263,3.0842,3.4116,4.0419,4.048,2.8301,1.2636,0.9935,3.4635,3.136,3.716,2.299,3.1228,2.4225,2.7572,-3.3076,2.5634,3.5262,-1.0262,1.46,1.7446,3.9654,2.3077,4.2343,3.4868,3.944,0.7058,-0.2671,3.3842,1.5465,3.2692,2.4198,3.4398,3.7804,3.7313,3.5073,3.4713,3.345,3.9719,4.245,-2.114,1.9302,3.4945,1.674,3.3307,2.4883,3.2481,3.868,3.652,4.3111,2.7007,3.1278,3.0127,3.5669,1.9638,3.6759,0.3231,2.4675,3.4843,0.4552
ACADM,6.5258,4.5814,6.4415,7.1315,5.3705,4.7767,6.2867,4.2714,4.9402,5.911,5.8385,5.5808,3.652,6.3096,3.7302,5.4654,4.9901,3.9847,2.9413,3.3119,5.3913,5.7388,5.6562,5.7981,5.9227,4.5286,6.1971,4.4615,5.862,6.0153,6.2075,5.6294,5.5069,4.9369,5.1595,3.6737,5.3899,6.2869,3.8501,3.5187,3.5621,3.8471,5.5289,5.2961,7.606,4.9723,4.1302,4.4732,6.0832,6.27,4.9482,6.3684,5.8415,5.1563,4.4437,5.6773,5.9914,6.4489,4.9755,3.6125,4.734,4.9435,6.2331,5.9741,5.4764,5.2702,5.0457,5.6924,5.5242,5.3541,5.0747,6.3187,5.434,5.6982,5.0286,5.3968,5.5008,4.197,3.6207,6.1944,5.6416,4.5988,4.3435,3.7992,4.7181,5.3111,4.8146,4.6949,5.2461,5.1907,4.6242,5.3477,5.6969,5.9378,5.7887,5.717,5.5747,5.7693,4.096,5.1429,5.3248,5.1281,5.5423,3.9223,5.6614,5.8166,5.0497,5.2514,5.445,5.0471,4.8105,4.86,5.6311,3.6451,3.4277,5.7986,4.9383,2.3479,6.5449,1.8604,4.5638,5.837,0.8082
ACOX1,5.2506,3.6994,4.2728,4.9496,4.5886,3.7259,4.0679,3.9156,3.9166,4.1318,4.3576,3.5803,3.9524,4.1219,3.2297,4.3506,4.5009,4.0269,4.6041,4.5946,4.2995,4.1579,4.834,4.8334,4.3009,4.0383,4.2721,4.01,4.425,3.4765,4.9355,3.6816,4.3206,4.0189,4.2995,3.0944,4.1376,4.5958,3.2692,3.3828,4.1128,3.1813,4.2995,4.2825,5.4053,3.421,2.7826,3.6623,4.9289,3.5424,3.7378,5.5267,4.373,3.7741,3.9691,3.6894,4.9041,4.2274,4.1523,4.1547,4.0242,3.7846,4.079,4.096,4.0575,4.0627,4.01,4.3148,3.6277,4.6826,3.9022,5.2048,4.6,4.2616,4.6,3.5923,4.3848,2.6783,3.3605,5.3597,3.6066,4.3889,4.9012,4.2396,4.0242,3.5424,3.5887,4.1211,4.215,3.6961,3.5124,3.8391,3.8279,4.0567,4.7181,4.6543,4.7099,4.3751,3.9365,3.6816,3.5461,3.9051,3.1294,3.3925,3.7625,4.6247,3.9673,4.0322,5.0357,3.8778,4.14,4.3399,3.7453,4.3463,4.0532,4.067,2.8034,3.5124,4.4047,4.0216,3.2737,3.9175,5.0828
ACOX2,-0.3566,3.8896,3.5461,4.7613,-0.6416,1.9822,3.4881,3.6703,1.595,2.9525,4.1828,3.6417,2.5462,3.1179,3.9478,3.7324,4.6905,3.4674,4.4784,0.0854,4.2048,2.8974,3.2766,3.5111,-0.9971,1.6374,2.8422,4.0748,3.7688,3.6417,0.3573,3.1491,4.3111,2.0638,4.0216,4.4013,3.6883,3.0481,4.8689,3.864,4.3583,2.5313,0.5271,2.0878,2.0946,1.2271,2.6067,3.8788,3.8289,3.5461,4.7258,0.1903,3.97,2.4908,0.8408,3.4804,4.2548,4.2009,3.4371,0.4967,4.327,2.5137,3.7475,3.7867,3.2766,3.6266,3.3675,2.0395,3.9431,3.492,2.3732,4.1668,2.9109,2.3981,-0.2328,-1.5951,2.2872,3.1507,2.4465,3.5596,3.5212,2.9413,3.2435,4.4726,2.7379,4.5274,4.5034,3.5584,4.0705,3.2143,1.0983,4.1351,3.4143,4.1094,1.8036,3.8269,4.3039,3.3032,3.6359,3.5199,3.4451,4.2563,4.5874,3.6101,1.5514,0.9716,2.6255,0.6145,4.4745,4.067,4.7421,4.5255,3.0893,3.637,5.1031,3.2929,3.6532,2.3479,4.5832,4.6306,3.9156,4.9313,4.1153
ACOX3,3.5374,3.5349,2.6738,3.7614,3.162,2.5061,3.0859,2.2693,2.4623,2.9875,2.9281,3.3828,3.2374,3.3192,3.4007,4.1571,2.7636,3.958,3.2313,4.14,3.0481,3.1717,2.7117,3.1294,2.5338,3.8136,3.2282,4.0269,3.2632,3.3661,2.4279,2.8542,2.7636,2.9413,3.5299,2.1925,2.3193,3.154,3.3689,3.3017,3.4384,3.832,2.9948,2.5288,2.8955,2.3193,2.004,2.5683,3.1829,3.7635,3.0723,3.2841,3.0323,1.9264,2.5188,3.1278,3.1426,2.8402,2.7508,3.9468,3.208,3.3047,2.791,2.982,2.5756,3.3535,3.1892,2.93,3.0619,3.3773,3.1749,3.1701,3.0252,2.828,2.8502,3.3773,2.6533,2.2813,2.3677,3.1045,2.9394,2.8076,3.7083,3.9374,3.0411,2.4063,3.5959,3.1572,3.1939,3.4635,2.0638,3.1844,2.77,2.9205,2.909,3.1475,2.7847,3.1685,3.3119,3.4543,2.9319,2.9784,2.7679,2.6441,2.183,3.0305,3.9318,2.667,2.3898,3.4556,3.6928,3.345,3.3293,4.2017,3.1637,3.5436,1.2271,2.5112,3.3577,4.073,3.3061,3.2737,4.1186
