gene_name,TCGA-09-2044-01,TCGA-13-1505-01,TCGA-25-1319-01,TCGA-25-2397-01
ABL1,3.1112,4.2743,4.2017,3.0978
ABL2,1.0079,1.0503,0.8647,0.1257
ACAA1,4.7866,4.2111,4.38,4.2526
ACACA,3.6861,3.2158,4.5072,3.402
ACACB,0.3573,2.0147,1.2815,1.125
ACADL,-6.5064,-3.0469,-5.0116,-3.1714
ACADM,4.5374,4.511,4.4483,4.6242
ACOX1,3.8085,2.7051,3.6054,3.6737
ACOX2,3.7028,2.3451,1.2333,1.4174
ACOX3,1.787,3.1892,1.9822,3.4477
ACSBG1,-5.0116,-2.0529,-0.9406,-3.816
ACSBG2,-3.1714,-1.6394,-1.0862,-3.1714
ACSL1,1.9601,2.7931,4.1449,3.0893
ACSL3,4.2825,3.5982,4.795,4.7485
ACSL4,4.433,3.2781,3.3563,3.2929
ACSL5,3.6219,2.0776,2.5011,3.637
ACSL6,-3.26905,-3.5628,-4.80425,-6.8909
ACTA2,5.8635,8.5372,5.6537,3.9774
ACTB,11.2932,11.2523,11.5372,11.2502
ACTG1,12.2239,10.6018,11.2155,10.7299
ACVR1,4.018,3.9792,3.9242,2.7657
ACVR1B,2.3135,4.2312,3.5009,2.0604
ACVR1C,-3.3076,-1.0262,-2.8262,-9.9658
ACVR2A,0.3231,2.4465,1.6558,1.2934
ACVR2B,-0.2328,1.3225,1.196,-0.8339
ADAM17,3.0217,3.9737,3.5959,2.0147
ADCY1,-1.6394,-0.1345,-3.1714,-4.2934
ADCY10,-5.0116,-4.6082,-6.5064,-5.5735
ADCY2,-5.5735,-0.9686,-3.1714,-6.5064
ADCY3,3.5486,3.6382,3.2841,3.1637
ADCY4,-0.0425,1.0642,1.884,0.4125
ADCY5,0.7407,0.1519,2.5804,-1.2142
ADCY6,1.4704,3.3506,2.1541,1.6234
ADCY7,2.5413,1.1447,1.1184,2.7007
ADCY8,-5.5735,-1.0262,4.8871,5.0653
ADCY9,-0.1504,1.9564,0.7748,1.3679
ADCYAP1,-0.7834,-5.0116,-4.6082,1.6785
ADCYAP1R1,-0.1187,1.3791,1.6327,-5.0116
ADGRB1,-1.4699,-1.4699,-5.5735,-2.0529
ADIPOQ,-6.5064,1.7995,-6.5064,-9.9658
ADIPOR1,7.0386,6.2246,7.1268,6.6939
ADIPOR2,4.1285,4.5211,3.6054,3.9956
ADORA1,1.6327,2.1894,0.7579,4.1531
ADORA2A,0.6425,0.537,0.3685,0.4552
ADORA2B,-2.2447,-0.3201,-2.3147,1.3225
ADORA3,1.6957,1.0462,2.0847,1.9137
ADRA1A,-3.6259,-5.0116,-6.5064,-9.9658
ADRA1B,0.7407,-1.3548,-1.5105,-0.0877
ADRA1D,-3.0469,-3.3076,-3.3076,-1.5522
ADRA2A,2.3732,3.755,-1.1811,3.222
ADRA2B,0.4657,-1.2828,0.4657,-2.3884
ADRA2C,4.849,2.118,0.1648,4.7285
ADRB1,-1.8314,-1.9942,-5.0116,-2.4659
ADRB2,-1.9942,-2.3884,-1.5105,-2.9324
ADRB3,-9.9658,-3.458,-6.5064,-3.816
AFDN,0.0,0.0,0.0,0.0
AFP,-5.0116,-3.816,-3.6259,-9.9658
AGAP2,-0.6416,-0.2159,-0.3201,-2.3147
AGER,1.0915,3.4331,3.1987,2.5338
AGRP,-4.035,-3.458,-5.0116,-2.9324
AGT,-3.1714,-0.8339,-1.3548,-2.9324
AGTR1,-3.458,-1.4305,-2.7274,-6.5064
AIFM2,2.7847,1.8444,1.8957,3.4183
AIM2,0.1648,-1.3921,-0.4131,-3.0469
AJUBA,2.7073,4.1587,2.5087,3.7269
AKT1,6.2167,6.6327,5.9336,5.3978
AKT1S1,5.6256,5.1429,5.7123,6.1069
AKT2,6.5021,6.0354,6.3445,6.8262
AKT3,3.8611,1.0293,-0.2498,-0.6416
ALDOA,9.9758,9.7184,10.3813,10.9649
ALDOB,-6.5064,-6.5064,-5.0116,-5.5735
ALDOC,0.5859,3.8002,1.1382,0.9115
AMH,-3.816,-1.2481,1.7273,-0.7346
AMHR2,-1.9942,2.0742,-1.3921,-9.9658
AMOT,2.1638,4.1061,4.215,4.466
ANAPC5,5.3126,6.4619,6.1675,5.0884
ANGPT1,-1.3921,-0.5543,-2.5479,-2.8262
ANGPT2,1.9968,-0.3752,2.9655,1.3623
ANGPT4,-1.7809,-3.6259,-4.2934,-4.6082
ANGPTL4,0.6517,1.46,2.0912,3.6578
AOX1,-1.1172,0.1388,-0.6193,0.4016
APAF1,0.6517,2.3981,2.3222,0.9642
APBB1IP,2.128,1.7403,2.0465,1.7009
APC,0.9115,0.099,1.1316,1.7912
APC2,-4.6082,-2.114,-3.458,-1.9942
APH1A,7.5423,7.424,7.4125,6.9893
APH1B,2.8502,2.3106,2.05,2.7073
APLN,2.2237,-0.8863,1.9527,1.8323
APLNR,1.3679,2.694,0.537,-1.1172
APOA1,5.6568,3.66,7.124,5.1958
APOA2,-3.458,-9.9658,-9.9658,-9.9658
APOA5,-5.0116,-4.2934,-9.9658,-9.9658
APOC3,-9.9658,-9.9658,-9.9658,-9.9658
AQP7,-2.9324,1.1117,-1.9942,-0.6643
ARAF,5.6594,6.4155,5.8817,5.3692
ARAP3,2.2299,1.0503,1.4652,1.9968
AREG,1.2394,-0.9971,0.044,-0.1031
ARF1,8.7109,7.8291,7.8995,8.379
ARF6,5.6144,4.6502,4.9915,4.9937
ARHGDIA,7.9999,7.029,8.0914,7.2411
ARHGDIB,6.316,5.6453,5.7442,5.6343
ARHGDIG,-1.5951,0.2998,-0.6193,-0.3201
ARHGEF12,1.9302,3.8085,3.011,4.309
ARNT,3.325,4.2862,4.3082,3.5287
ARRB1,3.0619,1.6604,2.0147,2.651
ARRB2,5.2821,5.2369,4.4115,4.4595
ASPH,4.2609,5.1161,3.4304,4.1804
ATF2,4.3869,3.9552,4.1962,3.6277
ATF4,7.1514,7.2573,6.4295,6.8267
ATF6B,5.9803,5.9656,6.2334,6.3797
ATG12,4.9402,3.2841,3.4894,4.4602
ATG16L1,3.551,2.8055,3.5161,3.2251
ATG5,4.1644,4.4855,4.041,3.3814
ATM,1.3791,2.667,1.3051,2.0183
ATP1A1,7.1672,7.0666,7.4475,7.8254
ATP1A2,-2.5479,-0.2845,-1.0262,-2.7274
ATP1A3,3.0323,-4.2934,-3.1714,-0.7834
ATP1A4,-9.9658,-5.0116,-5.0116,-6.5064
ATP1B1,4.1595,5.4202,4.7082,4.1111
ATP1B2,-1.4699,3.4116,0.5271,-3.0469
ATP1B3,5.0993,5.0063,5.8199,6.2054
ATP1B4,-9.9658,-9.9658,-6.5064,-9.9658
ATP2A1,0.1257,0.9191,0.2998,0.7146
ATP2A2,5.0943,5.8839,6.0121,4.9486
ATP2A3,1.7273,1.8484,0.7321,-0.4921
ATP2B1,1.7617,3.834,3.6578,3.4648
