gene_name,TCGA-P8-A5KC-01,TCGA-P8-A5KD-01,TCGA-P8-A6RX-01,TCGA-P8-A6RY-01,TCGA-PR-A5PF-01,TCGA-PR-A5PG-01,TCGA-PR-A5PH-01,TCGA-QR-A6GO-01,TCGA-QR-A6GT-01,TCGA-QR-A6GU-01,TCGA-QR-A6GZ-01,TCGA-QR-A6H2-01,TCGA-QR-A70W-01,TCGA-QT-A5XJ-01,TCGA-QT-A5XK-01,TCGA-QT-A5XL-01,TCGA-QT-A5XM-01,TCGA-QT-A5XN-01,TCGA-QT-A5XO-01,TCGA-QT-A5XP-01,TCGA-QT-A69Q-01,TCGA-QT-A7U0-01,TCGA-RT-A6Y9-01,TCGA-RT-A6YA-01,TCGA-RT-A6YC-01,TCGA-RW-A67V-01,TCGA-RW-A67X-01,TCGA-RW-A680-01,TCGA-RW-A681-01,TCGA-RW-A685-01,TCGA-RW-A688-01,TCGA-RW-A689-01,TCGA-RW-A68A-01,TCGA-RW-A68B-01,TCGA-RW-A68C-01,TCGA-RW-A68D-01,TCGA-RW-A68F-01,TCGA-RW-A68G-01,TCGA-RW-A8AZ-01,TCGA-RX-A8JQ-01,TCGA-S7-A7WL-01,TCGA-S7-A7WM-01,TCGA-S7-A7WN-01,TCGA-S7-A7WP-01,TCGA-S7-A7WQ-01,TCGA-S7-A7WR-01,TCGA-S7-A7WU-01,TCGA-S7-A7WV-01,TCGA-S7-A7WW-01,TCGA-S7-A7WX-01,TCGA-S7-A7X0-01,TCGA-S7-A7X1-01,TCGA-S7-A7X2-01,TCGA-SA-A6C2-01,TCGA-SP-A6QH-01,TCGA-SP-A6QJ-01,TCGA-SR-A6MQ-01,TCGA-SR-A6MX-01,TCGA-SR-A6MY-01,TCGA-SR-A6MZ-01,TCGA-TT-A6YN-01,TCGA-W2-A7HC-01,TCGA-W2-A7HF-01,TCGA-WB-A80Q-01,TCGA-WB-A814-01,TCGA-WB-A815-01,TCGA-WB-A817-01,TCGA-WB-A818-01,TCGA-WB-A819-01,TCGA-WB-A81G-01,TCGA-WB-A81M-01,TCGA-WB-A81P-01,TCGA-WB-A81S-01,TCGA-WB-A81T-01,TCGA-WB-A81V-01,TCGA-WB-A81W-01
ABL1,4.8915,3.9127,4.0584,2.9507,3.8808,3.7072,4.1978,3.8461,4.3002,3.7335,3.2959,3.573,3.4102,4.162,3.7017,4.2965,3.7815,3.3379,3.3883,3.2826,3.9251,3.6566,3.4424,3.3177,3.9792,3.8798,3.7061,3.0163,3.6566,3.4894,3.9691,3.7464,3.8411,4.0136,3.7518,4.1186,3.3148,3.2988,4.5868,3.7269,2.7444,4.0584,3.7204,3.9645,4.3155,3.9608,3.7561,4.429,3.3105,3.8719,3.8847,3.9156,3.0978,3.2541,3.8147,3.4543,4.0858,4.0765,3.9599,3.6861,3.7688,3.831,4.3751,3.2707,3.5362,3.8886,4.1103,4.0875,3.8391,3.8431,4.706,4.1441,3.9974,3.6771,3.4971,3.652
ABL2,1.816,2.0844,1.8404,0.8164,1.5013,1.8524,1.5013,1.8996,2.7636,1.595,1.1577,1.3567,1.0222,1.7828,2.2019,2.4934,2.3019,2.3981,1.8801,1.9452,0.7832,1.3283,2.1925,1.5064,3.4596,0.7321,1.9111,1.196,2.0254,1.3225,1.6187,1.3735,1.5661,1.6234,1.6187,1.595,1.1382,0.9862,2.2268,2.5585,1.8036,2.2842,1.9415,1.7229,1.674,1.9822,1.4335,3.1377,0.7579,1.6327,1.5266,1.3901,1.2333,2.1047,1.2756,1.2815,2.6918,1.5709,2.2663,1.8604,2.0638,2.1476,1.9931,0.8082,1.2576,1.5563,1.4704,2.036,1.7954,2.0535,2.4727,2.004,1.8762,1.6281,1.2333,2.0776
ACAA1,4.9538,4.5528,4.1555,4.2488,4.6381,4.1883,4.7071,4.8243,4.0198,3.5803,4.5367,5.0527,4.5814,3.5645,3.3647,4.3786,4.0171,2.96,4.8269,4.8294,5.2192,4.837,4.352,5.1526,4.1939,4.5161,4.5754,3.4517,4.6047,5.6171,5.2396,4.2243,4.0558,4.4196,4.5243,4.5429,4.2714,5.2087,4.0824,4.4324,4.0705,4.0901,4.1236,3.5621,4.3681,3.5791,5.2044,5.0926,4.6938,4.8595,4.5832,4.3667,4.7258,4.4317,5.1293,4.9308,4.3492,4.5009,4.8793,4.9787,4.4263,4.2563,4.3541,4.8525,4.1228,4.3435,4.8028,4.4713,4.0696,4.4135,4.986,4.809,4.4848,4.84,5.0777,3.9194
ACACA,3.5803,4.1384,2.9966,2.4225,3.603,3.9571,4.0532,3.2885,2.8402,3.1311,2.1638,2.7594,3.0842,4.518,3.242,3.0706,4.1804,2.6624,4.0295,2.3953,3.5839,3.0893,3.453,1.8801,3.0411,2.5011,2.2931,1.9452,3.4713,2.5011,3.4907,2.5061,3.8208,3.831,2.7161,3.6725,2.9802,2.9544,2.3135,2.9262,2.9375,1.614,2.8994,3.0393,2.9186,3.5911,3.1228,2.7805,2.7847,3.772,3.0163,2.4492,3.3661,3.1129,2.167,3.1212,3.5287,3.5669,3.3759,3.5161,3.9421,3.7836,3.8177,2.971,2.9013,2.9637,3.9374,3.2267,3.9213,3.5994,3.668,2.5437,3.242,3.8481,3.0481,4.1571
ACACB,2.4908,3.091,2.6828,2.8137,2.2543,1.9564,2.5487,2.826,2.3366,2.7742,2.5536,2.0325,2.6161,1.7141,2.5011,2.9356,2.8502,2.8799,3.1475,2.7636,3.1797,3.7646,3.1327,1.7617,1.5415,2.8055,1.5415,1.683,2.8301,2.8402,3.2236,1.683,3.1377,2.7636,2.828,3.1475,2.2019,2.0004,1.0642,3.335,2.5948,2.6185,3.0757,3.6486,2.3677,3.2481,3.4224,1.5902,3.0808,2.8974,3.2811,1.9073,2.0465,2.4985,3.1604,1.9859,3.5486,3.4765,2.299,2.982,3.5982,2.667,4.2134,1.5366,3.1278,2.4675,3.6804,3.2174,2.6624,3.2405,2.6828,3.6646,3.8501,3.2034,2.043,2.9692
ACADL,-9.9658,-6.5064,-9.9658,-4.6082,-5.5735,-5.5735,-6.5064,-6.5064,-6.5064,-4.2934,-9.9658,-5.5735,-5.5735,-5.0116,-4.6082,-9.9658,-5.5735,-6.5064,-5.5735,-4.6082,-9.9658,-6.5064,-3.458,-9.9658,-6.5064,-6.5064,-9.9658,-5.0116,-5.0116,-2.9324,-2.7274,-4.035,-4.2934,-6.5064,-6.5064,-5.0116,-9.9658,-5.0116,-9.9658,-5.0116,-9.9658,-6.5064,-9.9658,-6.5064,-9.9658,-5.0116,-4.6082,-6.5064,-3.458,-4.035,-9.9658,-5.5735,-6.5064,-4.6082,-5.0116,-5.0116,-3.1714,-2.9324,-4.2934,-4.035,-4.6082,-5.5735,-6.5064,-9.9658,-4.6082,-4.2934,-3.458,-6.5064,-6.5064,-0.7346,-5.5735,-5.5735,-6.5064,-4.2934,-4.2934,-9.9658
ACADM,4.8753,4.0445,3.7919,4.162,4.1482,3.5959,3.9626,3.6793,3.7539,4.5553,3.4183,2.3843,2.6208,4.3191,4.1027,3.3076,4.222,3.7593,4.5417,3.8198,4.2235,5.1486,4.9421,3.3883,3.8993,2.2082,3.4997,1.8201,2.9562,3.5312,3.7867,3.9774,3.5212,4.0109,4.3364,4.8861,4.3256,3.1195,3.3264,3.6555,3.7846,3.1523,4.0109,4.5663,4.2736,4.4081,4.6508,3.7867,4.2126,3.5584,4.391,4.222,3.3105,4.6177,3.1507,3.4088,3.8177,3.417,4.0748,4.4829,4.2958,3.644,3.8095,3.2328,4.445,4.701,5.5925,4.1211,4.2196,3.7836,3.6939,3.6737,3.7961,4.17,3.0585,3.5803
ACOX1,3.4424,3.8147,2.874,2.7379,3.7773,3.325,3.6359,3.5682,3.3364,3.245,3.1475,3.2002,3.9856,3.4277,3.5249,2.8502,3.668,3.6972,3.4291,3.6983,2.9929,3.154,3.5947,2.2175,3.4596,4.8355,2.5363,3.6054,3.3478,3.3221,3.7982,3.3759,3.7171,3.5486,2.3981,3.449,3.1653,3.907,2.7336,3.2602,3.1781,3.1261,2.8442,3.0944,2.6533,3.838,3.2929,2.9338,2.7721,3.2205,3.2127,1.8119,3.2915,3.4933,3.0585,3.5875,3.5387,3.4277,3.0927,3.3192,3.9774,3.3911,3.5994,4.518,2.6828,3.6042,3.4237,3.668,3.5212,3.1475,3.2752,3.6894,3.3163,3.6312,3.3336,3.8769
ACOX2,4.0662,4.3992,2.971,3.772,4.2965,4.4384,4.7176,5.0379,2.3816,3.6006,3.4224,3.7475,4.38,0.1124,3.6463,3.7226,4.7049,3.2251,4.5417,4.3335,3.603,4.3972,3.9654,4.1417,3.4958,4.5072,2.2573,3.2541,3.616,4.6358,1.105,4.1915,3.616,3.6136,3.1717,4.7154,3.7182,4.3999,3.2112,4.2751,2.8955,3.2405,4.4536,3.4156,2.5188,4.0127,4.7924,2.9488,3.8501,4.1644,3.4291,2.6579,4.5892,2.8034,3.773,4.6479,4.7971,3.6113,3.8818,4.0153,3.5461,4.856,4.9002,3.8739,3.5473,3.4116,4.1078,4.2381,4.0001,3.6405,4.857,3.74,4.9855,4.6606,4.9773,3.9156
ACOX3,2.376,3.1129,3.1491,2.043,2.3451,2.1345,2.4252,2.5585,2.6464,2.2051,3.0287,3.1426,2.9394,2.8502,2.59,2.9948,2.004,2.5338,2.7615,3.1045,2.1766,2.5731,2.9205,1.8363,2.1957,3.1145,2.5585,2.496,2.4306,2.8522,2.9167,2.7993,2.8034,2.8422,2.4412,2.6278,1.6604,2.7868,2.3019,2.872,2.9319,2.5852,1.6964,1.9895,2.4727,3.0446,2.6348,3.6242,2.2663,3.2018,2.4117,2.6185,2.9729,2.4675,3.0585,2.4623,2.8199,2.4198,2.2842,2.5707,2.5437,2.791,4.235,3.0995,2.4279,2.6302,2.6255,2.5876,3.2018,2.0878,2.93,2.826,2.7594,2.3677,2.9356,2.9109
